,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
635,Gareth Morgan,NC State,36,6-4,210,R/R,"Toronto, ON",Rd 2 Comp by Mariners (2014),None,Ontario Blue Jays,"Bat really stands out, Big potential power potential, Very good at WWBA WC. Made Petco look small in PG AA BP",2014,NC State,490.0
636,Milton Ramos,Fla. Atlantic,37,6-2,165,R/R,"Hiealea, FL",Rd 3 by Mets (2014),None,Ftb Chandler,Stood out at PG World. Very interesting all around tools. Can really play the IF. Ran a 6.53 at PG National. MVP WWBA 17u,2014,Fla. Atlantic,229.0
637,Josh Morgan,UCLA,38,5-11,180,R/R,"Corona, CA",Rd 3 by Rangers (2014),None,Trombly/GBG Marucci,"Outstanding defensive SS, very good hitting tools, MVP PG/Evoshield. Very good again at PG National",2014,UCLA,110.0
638,Joseph Gatto,North Carolina,39,6-5,215,R/R,"Hammonton, NJ",Rd 2 by Angels (2014),None,Indiana Prospects,"Very interesting RHP, 88 at WWBA, gained 7 mph in 6 months. Now up to 94 mph at PG National with good off speed to go with it. PG AA",2014,North Carolina,457.0
639,Cody Reed,Vanderbilt,40,6-3,220,R/L,"Athens, AL",Rd 2 by Diamondbacks (2014),None,16U Knights Baseball ,"Lively upper 80's, commands well",2014,Vanderbilt,736.0
640,Matthew Railey,Florida St.,41,5-11,195,L/L,"Tallahassee, FL",Rd 3 by Diamondbacks (2014),None,Next Level,"Outstanding athlete, very good hitting tools",2014,Florida St.,234.0
641,Keaton McKinney,Arkansas,42,6-5,220,R/R,"Ankeny, IA",Rd 28 by Mets (2014),None,HS team,Big RHP who has been up to 94 mph! Pitched very well at PG National. Also shows power with the bat. Showed outstanding CH at PG AA,2014,Arkansas,31.0
642,Devon Fisher,Virginia,43,6-1,200,R/R,"Portsmouth, VA",Rd 20 by Red Sox (2014),None,17U Richmond Braves National Team,Very good defensive catcher and power bat. Arm stood out at PG World,2014,Virginia,746.0
643,Cole Tucker,Arizona,44,6-3,205,S/R,"Phoenix, AZ",Rd 1 by Pirates (2014),Pirates (2019),Arizona Diamondbacks Scout,Very interesting all around talent at PG National and WWBA,2014,Arizona,29.0
644,Chase Vallot,Mississippi St.,45,6-0,205,R/R,"Youngsville, LA",Rd 1 Comp by Royals (2014),None,Marucci Elite,Huge power and a big arm behind the plate. HR Derby champ at PG National. PG AA,2014,Mississippi St.,430.0
645,Reese Cooley,Miami (FL),46,6-3,195,R/R,"Orange Park, FL",Rd 26 by Indians (2014),None,Orlando Scorpions,"Athletic OF, very good all around tools. Stood out at WWBA WC. Very good at PG National. Showed power potential at PG AA",2014,Miami (FL),415.0
646,Carson Sands,Florida St.,47,6-3,200,L/L,"Tallahassee, FL",Rd 4 by Cubs (2014),None,Orlando Scorpions Prime,"Very projectable Low 90's LHP, Good life on FB, Very good change up at PG National",2014,Florida St.,234.0
647,Jon Littell,Oklahoma St.,48,6-4,190,R/R,"Stillwater, OK",Rd 37 by Dodgers (2018),None,DBAT Mustangs OK/Oklahoma Fuel,"Interesting all around player to watch, Showed huge power potential at PG National. PG AA",2014,Oklahoma St.,521.0
648,Gregory Deichmann,LSU,49,6-2,180,L/R,"Metairie, LA",Rd 2 by Athletics (2017),Cubs (2021),Marucci Elite,Showed upperdeck power at PG Jr. National. Outstanding LH bat. Showed big power once again this year at PG National. Ball comes off his bat different. PG AA,2014,LSU,365.0
649,Stone Garrett,Rice,50,6-2,190,R/R,"Sugar Land, TX",Rd 8 by Marlins (2014),None,Houston Banditos,"Outstanding hitter, ball flies off his barrel, also very good athlete. Stood out at PG, WWBA and Area Codes. Ran a 6.4 at PG National. PG AA",2014,Rice,574.0
650,Brendan Rodgers,Florida St.,1,6-2,185,R/R,"Longwood, FL",Rd 1 by Rockies (2015),Rockies (2019),Orlando Scorpions Prime,"Outstanding at PG National. Very good bat-speed, Ball flies off his barrel. PG AA. Huge potential with the bat. Outstanding at WWBA and led the Orlando Scorpions to 3 rings in 2013! Outstanding defensively",2015,Florida St.,234.0
651,Dazmon Cameron,Florida St.,2,6-1,186,R/R,"McDonough, GA",Rd 1 Comp by Astros (2015),Tigers (2020),East Cobb Astros 18,Outstanding all around talent. Potential 5 tool player. Very good at PG National and WWBA. Stood out at NUC Main Event. Can flat out hit. PG AA,2015,Florida St.,234.0
652,Justin Hooper,UCLA,3,6-8,238,R/L,"San Ramon, CA",Rd 14 by Royals (2019),None,None,Up to 97 at PG AA Game. Extremely high ceiling LHP. Showed dominant stuff at PG Sunshine West Showcase. FB up to 95 mph and good breaking ball to go with it,2015,UCLA,110.0
653,Kolby Allard,UCLA,4,6-2,175,L/L,"San Clemente, CA",Rd 1 by Braves (2015),Braves (2018),So Cal Renegades,"Absolutely dominant at PG AA Game. Easy mid 90's FB, Commands all his pitches. Good breaking ball and change up",2015,UCLA,110.0
655,Tyler Stephenson,Georgia Tech,6,6-4,210,R/R,"Kennesaw, GA",Rd 1 by Reds (2015),Reds (2020),East Cobb Astros 16u,Big power at PG HS Showdown and at PG Park all spring. Bat stands out. Showed good power potential at WWBA and low 90's on the mound,2015,Georgia Tech,255.0
656,Ashe Russell,Texas A&M,7,6-4,195,R/R,"Indianapolis, IN",Rd 1 by Royals (2015),None,Evoshield Canes,Arm really works well and up to 95 mph at PG National. Good breaking ball as well. MVPitcher of 17u WWBA PG AA. Up to 96 at 17u PG WS,2015,Texas A&M,697.0
